boroct2020,Neighborhood,Borough,Price,convenience_score,livability_score,affordability_score,combined_score,total_crimes,noise_complaint_count,total_mta_ridership,total_citibike_trips,total_businesses
2016300,Mott Haven/Hunts Point,Bronx,3249.0,0.43241907585866074,95.57386288885982,62.17338217338217,48.00314098235924,22.0,154,0.0,140.0,0.0
2016400,Mott Haven/Hunts Point,Bronx,2840.0,0.0,96.46101791313991,72.16117216117217,48.230508956569956,7.0,426,0.0,0.0,0.0
2016500,Mott Haven/Hunts Point,Bronx,3249.0,0.2779836916234248,88.31885982705086,62.17338217338217,44.29842175933714,52.0,578,0.0,90.0,0.0
2016600,Mott Haven/Hunts Point,Bronx,2840.0,0.0,91.18138552077687,72.16117216117217,45.590692760388436,51.0,101,0.0,0.0,0.0
2016700,Mott Haven/Hunts Point,Bronx,3249.0,0.583765752409192,90.37774770327681,62.17338217338217,45.480756727843,25.0,986,0.0,189.0,0.0
2016900,Mott Haven/Hunts Point,Bronx,3249.0,0.0,94.46831348379624,62.17338217338217,47.23415674189812,19.0,435,0.0,0.0,0.0
2017100,Mott Haven/Hunts Point,Bronx,3249.0,0.3613787991104522,90.42038582091111,62.17338217338217,45.39088231001078,12.0,1350,0.0,117.0,0.0
2017300,Mott Haven/Hunts Point,Bronx,2737.5,1.3281443044230294,91.12718545547294,74.66422466422466,46.22766487994799,33.0,625,0.0,430.0,0.0
2017500,Mott Haven/Hunts Point,Bronx,2737.5,0.3829997529033852,85.91760270802436,74.66422466422466,43.150301230463874,66.0,602,0.0,124.0,0.0
2017701,Mott Haven/Hunts Point,Bronx,2737.5,0.0,91.00441992554178,74.66422466422466,45.50220996277089,29.0,761,0.0,0.0,0.0
2017702,Mott Haven/Hunts Point,Bronx,2737.5,0.407709414381023,83.28869798543597,74.66422466422466,41.848203699908495,70.0,952,0.0,132.0,0.0
2017901,Mott Haven/Hunts Point,Bronx,2737.5,0.25636273783049174,83.04413805588507,74.66422466422466,41.65025039685778,22.0,2367,0.0,83.0,0.0
2017902,Mott Haven/Hunts Point,Bronx,2737.5,0.0,89.47036385137821,74.66422466422466,44.735181925689105,22.0,1232,0.0,0.0,0.0
2018101,Mott Haven/Hunts Point,Bronx,2737.5,0.0,93.19080072076193,74.66422466422466,46.595400360380964,27.0,432,0.0,0.0,0.0
2018102,Mott Haven/Hunts Point,Bronx,2737.5,1.4918458117123796,90.32768868420638,74.66422466422466,45.90976724795938,23.0,1052,0.0,483.0,0.0
2018301,Mott Haven/Hunts Point,Bronx,2737.5,0.0,88.22506329754077,74.66422466422466,44.112531648770386,15.0,1652,0.0,0.0,0.0
2018302,Mott Haven/Hunts Point,Bronx,2737.5,0.738201136644428,86.53837485556727,74.66422466422466,43.63828799610585,39.0,1264,0.0,239.0,0.0
2018400,Mott Haven/Hunts Point,Bronx,3150.0,0.0,96.73337415745284,64.5909645909646,48.36668707872642,12.0,235,0.0,0.0,0.0
2018501,Mott Haven/Hunts Point,Bronx,2737.5,0.0,89.5805596569015,74.66422466422466,44.79027982845075,54.0,298,0.0,0.0,0.0
2018502,Mott Haven/Hunts Point,Bronx,2737.5,0.7134914751667902,85.35918445575842,74.66422466422466,43.03633796546261,55.0,1015,0.0,231.0,0.0
2018900,Mott Haven/Hunts Point,Bronx,2512.5,1.0378057820607858,68.14142882219483,80.15873015873015,34.589617302127806,55.0,4056,0.0,336.0,0.0
2019300,Mott Haven/Hunts Point,Bronx,2512.5,0.3459352606869286,88.85349454829431,80.15873015873015,44.59971490449062,34.0,998,0.0,112.0,0.0
2019400,Mott Haven/Hunts Point,Bronx,3150.0,0.0,95.4868642715295,64.5909645909646,47.74343213576475,14.0,398,0.0,0.0,0.0
2019500,Mott Haven/Hunts Point,Bronx,2512.5,6.24488001475131,81.03355017024097,80.15873015873015,43.639215092496144,36.0,2322,196052.0,595.0,0.0
2019700,Mott Haven/Hunts Point,Bronx,2512.5,3.559791461021869,75.97418112643054,80.15873015873015,39.766986293726205,56.0,2644,142970.0,112.0,0.0
2019900,Mott Haven/Hunts Point,Bronx,2512.5,0.26254015319990115,76.59491662754661,80.15873015873015,38.42872839037326,48.0,2763,0.0,85.0,0.0
2020000,Mott Haven/Hunts Point,Bronx,3150.0,0.5457508626406357,91.79973900414801,64.5909645909646,46.17274493339432,42.0,249,24278.0,0.0,0.0
2020100,Mott Haven/Hunts Point,Bronx,2512.5,0.6918705213738572,82.50622347943897,80.15873015873015,41.599047000406415,41.0,1919,0.0,224.0,0.0
2020200,Mott Haven/Hunts Point,Bronx,2450.0,0.0,98.21619852688693,81.6849816849817,49.108099263443464,7.0,116,0.0,0.0,0.0
2020400,Mott Haven/Hunts Point,Bronx,3150.0,0.0,95.98987312640563,64.5909645909646,47.99493656320281,16.0,252,0.0,0.0,0.0
2020501,Mott Haven/Hunts Point,Bronx,2200.0,0.4015319990116135,76.87445557152118,87.78998778998779,38.637993785266396,37.0,3028,0.0,130.0,0.0
2020502,Mott Haven/Hunts Point,Bronx,2200.0,0.0,93.99868952377602,87.78998778998779,46.99934476188801,12.0,718,0.0,0.0,0.0
2020601,Mott Haven/Hunts Point,Bronx,2450.0,1.177035213721325,97.4467701488468,81.6849816849817,49.31190268128406,12.0,109,52361.0,0.0,0.0
2020900,Mott Haven/Hunts Point,Bronx,2512.5,0.23474178403755866,78.67731318659371,80.15873015873015,39.45602748531563,38.0,2681,0.0,76.0,0.0
2021001,Mott Haven/Hunts Point,Bronx,2450.0,0.0,96.69104753444672,81.6849816849817,48.34552376722336,18.0,71,0.0,0.0,0.0
2021002,Mott Haven/Hunts Point,Bronx,2450.0,0.0,94.54547253551863,81.6849816849817,47.27273626775931,30.0,107,0.0,0.0,0.0
2021100,Mott Haven/Hunts Point,Bronx,2512.5,0.5559673832468496,88.79180028870056,80.15873015873015,44.673883835973704,39.0,866,0.0,180.0,0.0
2021200,Mott Haven/Hunts Point,Bronx,2450.0,0.0,97.84876312812433,81.6849816849817,48.924381564062166,12.0,38,0.0,0.0,0.0
2021301,Mott Haven/Hunts Point,Bronx,2512.5,0.30578206078576725,97.16933837441582,80.15873015873015,48.737560217600794,12.0,158,0.0,99.0,0.0
2021302,Mott Haven/Hunts Point,Bronx,2512.5,0.34902396837163335,89.7680244534277,80.15873015873015,45.05852421089967,40.0,665,0.0,113.0,0.0
2021501,Mott Haven/Hunts Point,Bronx,2200.0,0.5744996293550778,91.41238627239508,87.78998778998779,45.99344295087508,22.0,889,0.0,186.0,0.0
2021502,Mott Haven/Hunts Point,Bronx,2200.0,0.38608846058808993,87.75598903392323,87.78998778998779,44.071038747255656,32.0,1249,0.0,125.0,0.0
2021602,Mott Haven/Hunts Point,Bronx,2450.0,0.0,94.10861048109795,81.6849816849817,47.05430524054898,32.0,127,0.0,0.0,0.0
2021700,Mott Haven/Hunts Point,Bronx,2200.0,1.3806284977424823,78.50355415370757,87.78998778998779,39.94209132572502,53.0,2283,43693.0,129.0,0.0
2021900,Mott Haven/Hunts Point,Bronx,2512.5,1.1366444279713368,90.91531413866788,80.15873015873015,46.02597928331961,32.0,691,0.0,368.0,0.0
2022101,Mott Haven/Hunts Point,Bronx,2512.5,1.3078418810623686,83.78069458904514,80.15873015873015,42.54426823505376,65.0,1008,58180.0,0.0,0.0
2022102,Mott Haven/Hunts Point,Bronx,2512.5,0.42315295280454657,84.2817062136582,80.15873015873015,42.35242958323137,21.0,2177,0.0,137.0,0.0
2022200,Mott Haven/Hunts Point,Bronx,2450.0,0.0,89.10644650959276,81.6849816849817,44.55322325479638,57.0,296,0.0,0.0,0.0
2022300,Mott Haven/Hunts Point,Bronx,2512.5,0.5961205831480109,74.08729325460214,80.15873015873015,37.341706918875076,53.0,3063,0.0,193.0,0.0
